Code,Description,Genus Code
BN-04INFMP-NEP-LSP,"BN 4"" Ferry Morse Nepeta Catnip Long SP",NEPETA
BN-04INFMP-ORG-LSP,"BN 4"" Ferry Morse Oregano Long SP",OREGANO
BN-04INFMP-PAN-LSP,"BN 4"" Ferry Morse Pansy Long SP",PANSY
BN-04INFMP-SWI-LSP,"BN 4"" Ferry Morse Swiss Chard Long SP",SWISS CHARD
BN-04INFMP-VIO-LSP,"BN 4"" Ferry Morse Viola Long SP",VIOLA
BN-04INFOL-ALO,"BN 4"" Alocasia",
BN-04INFOL-POT,"BN 4"" Pothos",
BN-04INPER-LYS-LSP,"BN 4"" Lysimachia Long SP",LYSIMACHIA
BN-04INPER-LYS-MSP,"BN 4"" Lysimachia Mid SP",LYSIMACHIA
BN-04INPER-LYS-SSP,"BN 4"" Lysimachia Short SP",LYSIMACHIA
BN-04INPRW-ALT-LSP,"BN 4"" PW Accent Alternanthera Long SP",ALTERNANTHERA
BN-04INPRW-ALT-MSP,"BN 4"" PW Accent Alternanthera Mid SP",ALTERNANTHERA
BN-04INPRW-ALT-SSP,"BN 4"" PW Accent Alternanthera Short SP",ALTERNANTHERA
BN-04INPRW-APT-LSP,"BN 4"" PW Accent Aptenia Mezoo Long SP",APTENIA
BN-04INPRW-APT-MSP,"BN 4"" PW Accent Aptenia Mezoo Mid SP",APTENIA
BN-04INPRW-APT-SSP,"BN 4"" PW Accent Aptenia Mezoo Short SP",APTENIA
BN-04INPRW-ART-LSP,"BN 4"" PW Accent Artemesia Long SP",
BN-04INPRW-ART-MSP,"BN 4"" PW Accent Artemesia Mid SP",
BN-04INPRW-ART-SSP,"BN 4"" PW Accent Artemesia Short SP",
BN-04INPRW-ASP-LSP,"BN 4"" PW Accent Asparagus Fern Long SP",ASPARAGUS
BN-04INPRW-ASP-MSP,"BN 4"" PW Accent Asparagus Fern Mid SP",ASPARAGUS
BN-04INPRW-ASP-SSP,"BN 4"" PW Accent Asparagus Fern Short SP",ASPARAGUS
BN-04INPRW-DIC-LSP,"BN 4"" PW Accent Dichondra Long SP",DICHONDRA
BN-04INPRW-DIC-MSP,"BN 4"" PW Accent Dichondra Mid SP",DICHONDRA
BN-04INPRW-DIC-SSP,"BN 4"" PW Accent Dichondra Short SP",DICHONDRA
BN-04INPRW-HEC-LSP,"BN 4"" PW Accent Helichrysum Long SP",HELICHRYSUM
BN-04INPRW-HEC-MSP,"BN 4"" PW Accent Helichrysum Mid SP",HELICHRYSUM
BN-04INPRW-HEC-SSP,"BN 4"" PW Accent Helichrysum Short SP",HELICHRYSUM
BN-04INPRW-HED-LSP,"BN 4"" PW Accent Hedera Long SP",HEDERA
BN-04INPRW-HED-MSP,"BN 4"" PW Accent Hedera Mid SP",HEDERA
BN-04INPRW-HED-SSP,"BN 4"" PW Accent Hedera Short SP",HEDERA
BN-04INPRW-HYP-LSP,"BN 4"" PW Accent Hypoestes Long SP",
BN-04INPRW-IPO-LSP,"BN 4"" PW Accent Ipomoea Long SP",IPOMOEA
BN-04INPRW-IPO-MSP,"BN 4"" PW Accent Ipomoea Mid SP",IPOMOEA
BN-04INPRW-IPO-SSP,"BN 4"" PW Accent Ipomoea Short SP",IPOMOEA
BN-04INPRW-LAM-LSP,"BN 4"" PW Accent Lamium Long SP",LAMIUM
BN-04INPRW-LAM-MSP,"BN 4"" PW Accent Lamium Mid SP",LAMIUM
BN-04INPRW-LAM-SSP,"BN 4"" PW Accent Lamium Short SP",LAMIUM
BN-04INPRW-OXA-LSP,"BN 4"" PW Accent Oxalis Long SP",OXALIS
BN-04INPRW-OXA-MSP,"BN 4"" PW Accent Oxalis Mid SP",OXALIS
BN-04INPRW-OXA-SSP,"BN 4"" PW Accent Oxalis Short SP",OXALIS
BN-04INPRW-STO-LSP,"BN 4"" PW Accent Strobilanthes Long SP",STROBILANTHES
BN-04INPRW-STO-MSP,"BN 4"" PW Accent Strobilanthes Mid SP",STROBILANTHES
BN-04INPRW-STO-SSP,"BN 4"" PW Accent Strobilanthes Short SP",STROBILANTHES
BN-04INPRW-VIV-LSP,"BN 4"" PW Accent Vinca Vine Long SP",VINCA
BN-04INPRW-VIV-MSP,"BN 4"" PW Accent Vinca Vine Mid SP",VINCA
BN-04INPRW-VIV-SSP,"BN 4"" PW Accent Vinca Vine Short SP",VINCA
BN-04INVEG-BAS-LSP,"BN 4"" Veg Basil Long SP",BASIL
BN-04INVEG-CIL-LSP,"BN 4"" Veg Cilantro Long SP",CILANTRO
BN-04INVEG-CUC-LSP,"BN 4"" Veg Cucumber Long SP",CUCUMBER
BN-04INVEG-DIL-LSP,"BN 4"" Veg Dill Long SP",DILL
BN-04INVEG-EGG-LSP,"BN 4"" Veg Eggplant Long SP",EGGPLANT
BN-04INVEG-ORG-LSP,"BN 4"" Veg Oregano Long SP",OREGANO
BN-04INVEG-PAR-LSP,"BN 4"" Veg Parsley Long SP",PARSLEY
BN-04INVEG-PEP-LSP,"BN 4"" Veg Pepper Long SP",PEPPER
BN-04INVEG-SQU-LSP,"BN 4"" Veg Squash Long SP",SQUASH
BN-04INVEG-STR-LSP,"BN 4"" Veg Strawberry Long SP",STRAWBERRY
BN-04INVEG-TOM-LSP,"BN 4"" Veg Tomato Long SP",TOMATO
BN-04INVIG-BEG-LSP,"BN 4"" Vigoro Trop Begonia Long SP",BEGONIA
BN-04INVIG-CRO-LSP,"BN 4"" Vigoro Croton Long SP",
BN-04INVIG-DIF-LSP,"BN 4"" Vigoro Dieffenbachia Long SP",
BN-04INVIG-DRA-LSP,"BN 4"" Vigoro Dracaena marginata Long SP",
BN-04INVIG-DRA-S-LSP,"BN 4"" Vigoro Dracaena Sanderiana Long SP",
BN-04INVIG-DRA-W-LSP,"BN 4"" Vigoro Dracaena warneckii Long SP",
BN-04INVIG-FER-LSP,"BN 4"" Vigoro Trop Fern Long SP",FERN
BN-04INVIG-FIT-LSP,"BN 4"" Vigoro Trop Fittonia Long SP",FITTONIA
BN-04INVIG-HEM-LSP,"BN 4"" Vigoro Hemigraphis Long SP",
BN-04INVIG-HOY-LSP,"BN 4"" Vigoro Trop Hoya Long SP",HOYA
BN-04INVIG-NPH-LSP,"BN 4"" Vigoro Trop Nephrolepis Long SP",FERN
BN-04INVIG-PER-LSP,"BN 4"" Vigoro Trop Peperomia Long SP",PEPEROMIA
BN-04INVIG-POT-LSP,"BN 4"" Vigoro Trop Pothos Long SP",POTHOS
BN-04INVIG-PPR-LSP,"BN 4"" Vigoro Peperomia Long SP",
BN-04INVIG-SAN-LSP,"BN 4"" Vigoro Trop SansevIeria Long SP",SANSEVIERIA
BN-04INVIG-SPI-LSP,"BN 4"" Vigoro Trop Cholophytum Spider Long SP",CHLOROPHYTUM
BN-04INVIG-SYN-LSP,"BN 4"" Vigoro Trop Syngonium Long SP",SYNGONIUM
BN-04INVIG-TROP-BEG,"BN 4"" VIGORO TROPICAL BEGONIA",BEGONIA
BN-04INVIG-TROP-CHL,"BN 4"" VIGORO TROPICAL CHLOROPHYTUM",CHLOROPHYTUM
BN-04INVIG-TROP-FER,"BN 4"" VIGORO TROPICAL FERN",FERN
BN-04INVIG-TROP-FIT,"BN 4"" VIGORO TROPICAL FITTONIA",FITTONIA
BN-04INVIG-TROP-HOY,"BN 4"" VIGORO TROPICAL HOYA",HOYA
BN-04INVIG-TROP-NEP,"BN 4"" VIGORO TROPICAL NEPHROLEPIS",FERN
BN-04INVIG-TROP-PEP,"BN 4"" VIGORO TROPICAL PEPEROMIA",PEPEROMIA
BN-04INVIG-TROP-SAN,"BN 4"" VIGORO TROPICAL SANSEVIERIA",SANSEVIERIA
BN-04INVIG-TROP-SYN,"BN 4"" VIGORO TROPICAL SYNGONIUM",SYNGONIUM
BN-05INMUM-BCDS-SP,"BN 5"" Mum Black Cloth Direct Stick SP",CHRYSANTHEMUM
BN-05INMUM-NSDS-SP,"BN 5"" Mum Nat Season Direct Stick SP",CHRYSANTHEMUM
BN-05INPOI-DS-LSP,"BN 5"" Poinsettia Upgrade DS Long SP",POINSETTIA
BN-05INPOI-DS-MSP,"BN 5"" Poinsettia Upgrade DS Mid SP",POINSETTIA
BN-05INPOI-LN-LSP,"BN 5"" Poinsettia Upgrade LN Long SP",POINSETTIA
BN-05INPOI-LN-MSP,"BN 5"" Poinsettia Upgrade LN Mid SP",POINSETTIA
BN-06HBFOL-FOL-LHN,"BN 6"" HB Foliage Long HN",
BN-06HBFOL-PIL-LHN,"BN 6"" HB Foliage Pilea Long HN",
BN-06HBFOL-POT-LHN,"BN 6"" HB Foliage Pothos Long HN",
BN-06HBFOL-SPI-LHN,"BN 6"" HB Foliage Spider Plant Long HN",
BN-06HBFOL-TRA-LHN,"BN 6"" HB Foliage Wandering Jew Long HN",
BN-06INANN-AGE-LSP,"BN 6"" Ageratum Long SP",AGERATUM
BN-06INANN-AGE-MSP,"BN 6"" Ageratum Mid SP",AGERATUM
BN-06INANN-AGE-SSP,"BN 6"" Ageratum Short SP",AGERATUM
BN-06INANN-ALY-LSP,"BN 6"" Alyssum Long SP",ALYSSUM
BN-06INANN-ALY-MSP,"BN 6"" Alyssum Mid SP",ALYSSUM
BN-06INANN-ALY-SSP,"BN 6"" Alyssum Short SP",ALYSSUM
BN-06INANN-BEG-H-LSP,"BN 6"" Begonia Hiemalis Long SP",BEGONIA
BN-06INANN-BEG-H-MSP,"BN 6"" Begonia Hiemalis Mid SP",BEGONIA
BN-06INANN-BEG-H-SSP,"BN 6"" Begonia Hiemalis Short SP",BEGONIA
BN-06INANN-BEG-LSP,"BN 6"" Begonia Long SP",BEGONIA
BN-06INANN-BEG-MSP,"BN 6"" Begonia Mid SP",BEGONIA
BN-06INANN-BEG-SSP,"BN 6"" Begonia Short SP",BEGONIA
BN-06INANN-CAB-LPT,"BN 6"" Ornamental Cabbage Long PT",CABBAGE
BN-06INANN-CAB-MPT,"BN 6"" Ornamental Cabbage Mid PT",CABBAGE
BN-06INANN-CAB-SPT,"BN 6"" Ornamental Cabbage Small PT",CABBAGE
BN-06INANN-CAD-LSP,"BN 6"" Caladium Long SP",CALADIUM
BN-06INANN-CADPF-LSP,"BN 6"" Caladium Pre-Finish Long SP",CALADIUM
BN-06INANN-CEL-LSP,"BN 6"" Celosia Long SP",CELOSIA
BN-06INANN-CEL-MSP,"BN 6"" Celosia Mid SP",CELOSIA
BN-06INANN-CEL-SSP,"BN 6"" Celosia Short SP",CELOSIA
BN-06INANN-COL-LSP,"BN 6"" Coleus Long SP",COLEUS
BN-06INANN-COL-MSP,"BN 6"" Coleus Mid SP",COLEUS
BN-06INANN-COL-SSP,"BN 6"" Coleus Short SP",COLEUS
BN-06INANN-DIA-LSP,"BN 6"" Dianthus Long SP",DIANTHUS
BN-06INANN-DIA-MSP,"BN 6"" Dianthus Mid SP",DIANTHUS
BN-06INANN-DIA-SSP,"BN 6"" Dianthus Short SP",DIANTHUS
BN-06INANN-DUS-LSP,"BN 6"" Dusty Miller Long SP",DUSTY MILLER
