Production Scheme Code,Line no_,Production Phase,Duration,Qty_ per Area,Output _
BN-02INART-CAT-LSP,"10,000",GROW,4.00,19.00,0.00
BN-02INART-CAT-LSP,"20,000",INVENTORY,1.00,19.00,100.00
BN-02INART-CRA-LSP,"10,000",GROW,9.00,19.00,0.00
BN-02INART-CRA-LSP,"20,000",INVENTORY,1.00,19.00,100.00
BN-02INART-ECV-LSP,"10,000",GROW,8.00,19.00,0.00
BN-02INART-ECV-LSP,"20,000",INVENTORY,1.00,19.00,100.00
BN-02INART-FIT-LSP,"10,000",GROW,10.00,19.00,0.00
BN-02INART-FIT-LSP,"20,000",INVENTORY,1.00,19.00,100.00
BN-02INART-HAW-LSP,"10,000",GROW,8.00,19.00,0.00
BN-02INART-HAW-LSP,"20,000",INVENTORY,1.00,19.00,100.00
BN-02INART-KAN-LSP,"10,000",GROW,11.00,19.00,0.00
BN-02INART-KAN-LSP,"20,000",INVENTORY,1.00,19.00,100.00
BN-02INART-PEP-LSP,"10,000",GROW,8.00,19.00,0.00
BN-02INART-PEP-LSP,"20,000",INVENTORY,1.00,19.00,100.00
BN-02INART-PIL-LSP,"10,000",GROW,11.00,19.00,0.00
BN-02INART-PIL-LSP,"20,000",INVENTORY,1.00,19.00,100.00
BN-02INART-SAN-LSP,"10,000",GROW,11.00,19.00,0.00
BN-02INART-SAN-LSP,"20,000",INVENTORY,1.00,19.00,100.00
BN-02QTANN-AGE-LSP,"10,000",GROW,7.00,4.80,0.00
BN-02QTANN-AGE-LSP,"20,000",INVENTORY,1.00,4.80,100.00
BN-02QTANN-AGE-MSP,"10,000",GROW,6.00,4.80,0.00
BN-02QTANN-AGE-MSP,"20,000",INVENTORY,1.00,4.80,100.00
BN-02QTANN-AGE-SSP,"10,000",GROW,5.00,4.80,0.00
BN-02QTANN-AGE-SSP,"20,000",INVENTORY,1.00,4.80,100.00
BN-02QTANN-ALY-LSP,"10,000",GROW,6.00,4.80,0.00
BN-02QTANN-ALY-LSP,"20,000",INVENTORY,1.00,4.80,100.00
BN-02QTANN-ALY-MSP,"10,000",GROW,5.00,4.80,0.00
BN-02QTANN-ALY-MSP,"20,000",INVENTORY,1.00,4.80,100.00
BN-02QTANN-ALY-SSP,"10,000",GROW,4.00,4.80,0.00
BN-02QTANN-ALY-SSP,"20,000",INVENTORY,1.00,4.80,100.00
BN-02QTANN-BEG-LSP,"10,000",GROW,8.00,4.80,0.00
BN-02QTANN-BEG-LSP,"20,000",INVENTORY,1.00,4.80,100.00
BN-02QTANN-BEG-MSP,"10,000",GROW,7.00,4.80,0.00
BN-02QTANN-BEG-MSP,"20,000",INVENTORY,1.00,4.80,100.00
BN-02QTANN-BEG-SSP,"10,000",GROW,6.00,4.80,0.00
BN-02QTANN-BEG-SSP,"20,000",INVENTORY,1.00,4.80,100.00
BN-02QTANN-CEL-LSP,"10,000",GROW,9.00,4.80,0.00
BN-02QTANN-CEL-LSP,"20,000",INVENTORY,1.00,4.80,100.00
BN-02QTANN-CEL-MSP,"10,000",GROW,8.00,4.80,0.00
BN-02QTANN-CEL-MSP,"20,000",INVENTORY,1.00,4.80,100.00
BN-02QTANN-CEL-SSP,"10,000",GROW,7.00,4.80,0.00
BN-02QTANN-CEL-SSP,"20,000",INVENTORY,1.00,4.80,100.00
BN-02QTANN-COL-LSP,"10,000",GROW,7.00,4.80,0.00
BN-02QTANN-COL-LSP,"20,000",INVENTORY,1.00,4.80,100.00
BN-02QTANN-COL-MSP,"10,000",GROW,6.00,4.80,0.00
BN-02QTANN-COL-MSP,"20,000",INVENTORY,1.00,4.80,100.00
BN-02QTANN-COL-SSP,"10,000",GROW,5.00,4.80,0.00
BN-02QTANN-COL-SSP,"20,000",INVENTORY,1.00,4.80,100.00
BN-02QTANN-DIA-LSP,"10,000",GROW,11.00,4.80,0.00
BN-02QTANN-DIA-LSP,"20,000",INVENTORY,1.00,4.80,100.00
BN-02QTANN-DIA-MSP,"10,000",GROW,10.00,4.80,0.00
BN-02QTANN-DIA-MSP,"20,000",INVENTORY,1.00,4.80,100.00
BN-02QTANN-DIA-SSP,"10,000",GROW,9.00,4.80,0.00
BN-02QTANN-DIA-SSP,"20,000",INVENTORY,1.00,4.80,100.00
BN-02QTANN-DUS-LSP,"10,000",GROW,7.00,4.80,0.00
BN-02QTANN-DUS-LSP,"20,000",INVENTORY,1.00,4.80,100.00
BN-02QTANN-DUS-MSP,"10,000",GROW,6.00,4.80,0.00
BN-02QTANN-DUS-MSP,"20,000",INVENTORY,1.00,4.80,100.00
BN-02QTANN-DUS-SSP,"10,000",GROW,5.00,4.80,0.00
BN-02QTANN-DUS-SSP,"20,000",INVENTORY,1.00,4.80,100.00
BN-02QTANN-IMP-LSP,"10,000",GROW,7.00,4.80,0.00
BN-02QTANN-IMP-LSP,"20,000",INVENTORY,1.00,4.80,100.00
BN-02QTANN-IMP-MSP,"10,000",GROW,6.00,4.80,0.00
BN-02QTANN-IMP-MSP,"20,000",INVENTORY,1.00,4.80,100.00
BN-02QTANN-IMP-SSP,"10,000",GROW,5.00,4.80,0.00
BN-02QTANN-IMP-SSP,"20,000",INVENTORY,1.00,4.80,100.00
BN-02QTANN-MAR-LSP,"10,000",GROW,7.00,4.80,0.00
BN-02QTANN-MAR-LSP,"20,000",INVENTORY,1.00,4.80,100.00
BN-02QTANN-MAR-MSP,"10,000",GROW,6.00,4.80,0.00
BN-02QTANN-MAR-MSP,"20,000",INVENTORY,1.00,4.80,100.00
BN-02QTANN-MAR-SSP,"10,000",GROW,5.00,4.80,0.00
BN-02QTANN-MAR-SSP,"20,000",INVENTORY,1.00,4.80,100.00
BN-02QTANN-PAN-LSP,"10,000",GROW,11.00,4.80,0.00
BN-02QTANN-PAN-LSP,"20,000",INVENTORY,1.00,4.80,100.00
BN-02QTANN-PAN-MSP,"10,000",GROW,10.00,4.80,0.00
BN-02QTANN-PAN-MSP,"20,000",INVENTORY,1.00,4.80,100.00
BN-02QTANN-PAN-SSP,"10,000",GROW,8.00,4.80,0.00
BN-02QTANN-PAN-SSP,"20,000",INVENTORY,1.00,4.80,100.00
BN-02QTANN-PET-LSP,"10,000",GROW,8.00,4.80,0.00
BN-02QTANN-PET-LSP,"20,000",INVENTORY,1.00,4.80,100.00
BN-02QTANN-PET-MSP,"10,000",GROW,7.00,4.80,0.00
BN-02QTANN-PET-MSP,"20,000",INVENTORY,1.00,4.80,100.00
BN-02QTANN-PET-SSP,"10,000",GROW,6.00,4.80,0.00
BN-02QTANN-PET-SSP,"20,000",INVENTORY,1.00,4.80,100.00
BN-02QTANN-POR-LSP,"10,000",GROW,7.00,4.80,0.00
BN-02QTANN-POR-LSP,"20,000",INVENTORY,1.00,4.80,100.00
BN-02QTANN-POR-MSP,"10,000",GROW,6.00,4.80,0.00
BN-02QTANN-POR-MSP,"20,000",INVENTORY,1.00,4.80,100.00
BN-02QTANN-POR-SSP,"10,000",GROW,5.00,4.80,0.00
BN-02QTANN-POR-SSP,"20,000",INVENTORY,1.00,4.80,100.00
BN-02QTANN-SAL-LSP,"10,000",GROW,7.00,4.80,0.00
BN-02QTANN-SAL-LSP,"20,000",INVENTORY,1.00,4.80,100.00
BN-02QTANN-SNA-LSP,"10,000",GROW,9.00,4.80,0.00
BN-02QTANN-SNA-LSP,"20,000",INVENTORY,1.00,4.80,100.00
BN-02QTANN-SNA-MSP,"10,000",GROW,8.00,4.80,0.00
BN-02QTANN-SNA-MSP,"20,000",INVENTORY,1.00,4.80,100.00
BN-02QTANN-SNA-SSP,"10,000",GROW,7.00,4.80,0.00
BN-02QTANN-SNA-SSP,"20,000",INVENTORY,1.00,4.80,100.00
BN-02QTANN-VIN-LSP,"10,000",GROW,8.00,4.80,0.00
BN-02QTANN-VIN-LSP,"20,000",INVENTORY,1.00,4.80,100.00
BN-02QTANN-VIN-MSP,"10,000",GROW,7.00,4.80,0.00
BN-02QTANN-VIN-MSP,"20,000",INVENTORY,1.00,4.80,100.00
BN-02QTANN-VIN-SSP,"10,000",GROW,6.00,4.80,0.00
BN-02QTANN-VIN-SSP,"20,000",INVENTORY,1.00,4.80,100.00
BN-02QTANN-ZIN-LSP,"10,000",GROW,7.00,4.80,0.00
BN-02QTANN-ZIN-LSP,"20,000",INVENTORY,1.00,4.80,100.00
BN-02QTANN-ZIN-MSP,"10,000",GROW,6.00,4.80,0.00
BN-02QTANN-ZIN-MSP,"20,000",INVENTORY,1.00,4.80,100.00
BN-02QTANN-ZIN-SSP,"10,000",GROW,5.00,4.80,0.00
BN-02QTANN-ZIN-SSP,"20,000",INVENTORY,1.00,4.80,100.00
BN-04INACC-HED-LSP,"10,000",GROW,13.00,8.66,0.00
BN-04INACC-HED-LSP,"20,000",INVENTORY,1.00,8.66,100.00
BN-04INACC-HED-MSP,"10,000",GROW,12.00,8.66,0.00
BN-04INACC-HED-MSP,"20,000",INVENTORY,1.00,8.66,100.00
BN-04INACC-HED-SSP,"10,000",GROW,11.00,8.66,0.00
BN-04INACC-HED-SSP,"20,000",INVENTORY,1.00,8.66,100.00
BN-04INANN-AGE-LSP,"10,000",GROW,7.00,11.76,0.00
BN-04INANN-AGE-LSP,"20,000",INVENTORY,1.00,11.76,100.00
BN-04INANN-AGE-MSP,"10,000",GROW,6.00,11.76,0.00
BN-04INANN-AGE-MSP,"20,000",INVENTORY,1.00,11.76,100.00
BN-04INANN-AGE-SSP,"10,000",GROW,5.00,11.76,0.00
BN-04INANN-AGE-SSP,"20,000",INVENTORY,1.00,11.76,100.00
BN-04INANN-ALY-LSP,"10,000",GROW,6.00,11.76,0.00
BN-04INANN-ALY-LSP,"20,000",INVENTORY,1.00,11.76,100.00
BN-04INANN-ALY-MSP,"10,000",GROW,5.00,11.76,0.00
BN-04INANN-ALY-MSP,"20,000",INVENTORY,1.00,11.76,100.00
BN-04INANN-ALY-SSP,"10,000",GROW,4.00,11.76,0.00
BN-04INANN-ALY-SSP,"20,000",INVENTORY,1.00,11.76,100.00
BN-04INANN-BEG-LSP,"10,000",GROW,7.00,11.76,0.00
BN-04INANN-BEG-LSP,"20,000",INVENTORY,1.00,11.76,100.00
BN-04INANN-BEG-MSP,"10,000",GROW,6.00,11.76,0.00
BN-04INANN-BEG-MSP,"20,000",INVENTORY,1.00,11.76,100.00
BN-04INANN-BEG-SSP,"10,000",GROW,5.00,11.76,0.00
BN-04INANN-BEG-SSP,"20,000",INVENTORY,1.00,11.76,100.00
BN-04INANN-CEL-LSP,"10,000",GROW,8.00,11.76,0.00
BN-04INANN-CEL-LSP,"20,000",INVENTORY,1.00,11.76,100.00
BN-04INANN-CEL-MSP,"10,000",GROW,7.00,11.76,0.00
BN-04INANN-CEL-MSP,"20,000",INVENTORY,1.00,11.76,100.00
BN-04INANN-CEL-SSP,"10,000",GROW,6.00,11.76,0.00
BN-04INANN-CEL-SSP,"20,000",INVENTORY,1.00,11.76,100.00
BN-04INANN-COL-LSP,"10,000",GROW,8.00,11.76,0.00
BN-04INANN-COL-LSP,"20,000",INVENTORY,1.00,11.76,100.00
BN-04INANN-COL-MSP,"10,000",GROW,7.00,11.76,0.00
BN-04INANN-COL-MSP,"20,000",INVENTORY,1.00,11.76,100.00
BN-04INANN-COL-SSP,"10,000",GROW,6.00,11.76,0.00
BN-04INANN-COL-SSP,"20,000",INVENTORY,1.00,11.76,100.00
BN-04INANN-CYP-LSP,"10,000",GROW,12.00,8.66,0.00
BN-04INANN-CYP-LSP,"20,000",INVENTORY,1.00,8.66,100.00
BN-04INANN-DIA-LSP,"10,000",GROW,11.00,11.76,0.00
BN-04INANN-DIA-LSP,"20,000",INVENTORY,1.00,11.76,100.00
BN-04INANN-DIA-MSP,"10,000",GROW,10.00,11.76,0.00
BN-04INANN-DIA-MSP,"20,000",INVENTORY,1.00,11.76,100.00
BN-04INANN-DIA-SSP,"10,000",GROW,9.00,11.76,0.00
BN-04INANN-DIA-SSP,"20,000",INVENTORY,1.00,11.76,100.00
BN-04INANN-DUS-LSP,"10,000",GROW,7.00,11.76,0.00
BN-04INANN-DUS-LSP,"20,000",INVENTORY,1.00,11.76,100.00
BN-04INANN-DUS-MSP,"10,000",GROW,6.00,11.76,0.00
BN-04INANN-DUS-MSP,"20,000",INVENTORY,1.00,11.76,100.00
BN-04INANN-DUS-SSP,"10,000",GROW,5.00,11.76,0.00
BN-04INANN-DUS-SSP,"20,000",INVENTORY,1.00,11.76,100.00
BN-04INANN-GER-LSP,"10,000",GROW,9.00,11.76,0.00
BN-04INANN-GER-LSP,"20,000",INVENTORY,1.00,11.76,100.00
BN-04INANN-GER-MSP,"10,000",GROW,7.00,11.76,0.00
BN-04INANN-GER-MSP,"20,000",INVENTORY,1.00,11.76,100.00
BN-04INANN-GER-SSP,"10,000",GROW,5.00,11.76,0.00
BN-04INANN-GER-SSP,"20,000",INVENTORY,1.00,11.76,100.00
BN-04INANN-IMP-LSP,"10,000",GROW,6.00,11.76,0.00
BN-04INANN-IMP-LSP,"20,000",INVENTORY,1.00,11.76,100.00
BN-04INANN-IMP-MSP,"10,000",GROW,5.00,11.76,0.00
BN-04INANN-IMP-MSP,"20,000",INVENTORY,1.00,11.76,100.00
BN-04INANN-IMP-SSP,"10,000",GROW,4.00,11.76,0.00
BN-04INANN-IMP-SSP,"20,000",INVENTORY,1.00,11.76,100.00
BN-04INANN-MAR-LSP,"10,000",GROW,7.00,11.76,0.00
BN-04INANN-MAR-LSP,"20,000",INVENTORY,1.00,11.76,100.00
BN-04INANN-MAR-MSP,"10,000",GROW,6.00,11.76,0.00
BN-04INANN-MAR-MSP,"20,000",INVENTORY,1.00,11.76,100.00
BN-04INANN-MAR-SSP,"10,000",GROW,5.00,11.76,0.00
BN-04INANN-MAR-SSP,"20,000",INVENTORY,1.00,11.76,100.00
BN-04INANN-PAN-KY1SP,"10,000",GROW,8.00,11.76,0.00
BN-04INANN-PAN-KY1SP,"20,000",INVENTORY,1.00,11.76,100.00
BN-04INANN-PAN-LSP,"10,000",GROW,10.00,11.76,0.00
BN-04INANN-PAN-LSP,"20,000",INVENTORY,1.00,11.76,100.00
BN-04INANN-PAN-MSP,"10,000",GROW,9.00,11.76,0.00
BN-04INANN-PAN-MSP,"20,000",INVENTORY,1.00,11.76,100.00
BN-04INANN-PAN-SSP,"10,000",GROW,8.00,11.76,0.00
BN-04INANN-PAN-SSP,"20,000",INVENTORY,1.00,11.76,100.00
BN-04INANN-PAN-VA7SP,"10,000",GROW,9.00,11.76,0.00
BN-04INANN-PAN-VA7SP,"20,000",INVENTORY,1.00,11.76,100.00
BN-04INANN-PET-LSP,"10,000",GROW,8.00,11.76,0.00
BN-04INANN-PET-LSP,"20,000",INVENTORY,1.00,11.76,100.00
BN-04INANN-PET-MSP,"10,000",GROW,7.00,11.76,0.00
BN-04INANN-PET-MSP,"20,000",INVENTORY,1.00,11.76,100.00
BN-04INANN-PET-SSP,"10,000",GROW,6.00,11.76,0.00
BN-04INANN-PET-SSP,"20,000",INVENTORY,1.00,11.76,100.00
BN-04INANN-POR-LSP,"10,000",GROW,8.00,11.76,0.00
BN-04INANN-POR-LSP,"20,000",INVENTORY,1.00,11.76,100.00
BN-04INANN-POR-MSP,"10,000",GROW,7.00,11.76,0.00
BN-04INANN-POR-MSP,"20,000",INVENTORY,1.00,11.76,100.00
BN-04INANN-POR-SSP,"10,000",GROW,6.00,11.76,0.00
BN-04INANN-POR-SSP,"20,000",INVENTORY,1.00,11.76,100.00
BN-04INANN-SAL-LSP,"10,000",GROW,7.00,11.76,0.00
BN-04INANN-SAL-LSP,"20,000",INVENTORY,1.00,11.76,100.00
BN-04INANN-SAL-MSP,"10,000",GROW,6.00,11.76,0.00
BN-04INANN-SAL-MSP,"20,000",INVENTORY,1.00,11.76,100.00
BN-04INANN-SAL-SSP,"10,000",GROW,5.00,11.76,0.00
BN-04INANN-SAL-SSP,"20,000",INVENTORY,1.00,11.76,100.00
