Production Scheme Code,Production Scheme Line No_,Production Phase,No_ of Days,Period No_
BN-06INNAT-CUP-SPT,"10,000",GROW,21.00,1
BN-06INNAT-CUP-SPT,"30,000",SPACE,21.00,1
BN-06INNAT-CUP-SSP,"10,000",GROW,42.00,1
BN-06INNAT-IMP-LPT,"10,000",GROW,28.00,1
BN-06INNAT-IMP-LPT,"10,000",GROW,21.00,21
BN-06INNAT-IMP-LPT,"10,000",GROW,14.00,23
BN-06INNAT-IMP-LPT,"10,000",GROW,28.00,37
BN-06INNAT-IMP-LPT,"30,000",SPACE,35.00,1
BN-06INNAT-IMP-LPT,"30,000",SPACE,28.00,15
BN-06INNAT-IMP-LPT,"30,000",SPACE,21.00,23
BN-06INNAT-IMP-LPT,"30,000",SPACE,28.00,37
BN-06INNAT-IMP-LPT,"30,000",SPACE,35.00,42
BN-06INNAT-IMP-LSP,"10,000",GROW,63.00,1
BN-06INNAT-IMP-LSP,"10,000",GROW,56.00,15
BN-06INNAT-IMP-LSP,"10,000",GROW,49.00,21
BN-06INNAT-IMP-LSP,"10,000",GROW,35.00,23
BN-06INNAT-IMP-LSP,"10,000",GROW,56.00,37
BN-06INNAT-IMP-LSP,"10,000",GROW,63.00,42
BN-06INNAT-IMP-MPT,"10,000",GROW,28.00,1
BN-06INNAT-IMP-MPT,"10,000",GROW,21.00,15
BN-06INNAT-IMP-MPT,"10,000",GROW,14.00,23
BN-06INNAT-IMP-MPT,"10,000",GROW,21.00,37
BN-06INNAT-IMP-MPT,"10,000",GROW,28.00,42
BN-06INNAT-IMP-MPT,"30,000",SPACE,28.00,1
BN-06INNAT-IMP-MPT,"30,000",SPACE,21.00,21
BN-06INNAT-IMP-MPT,"30,000",SPACE,28.00,37
BN-06INNAT-IMP-MSP,"10,000",GROW,56.00,1
BN-06INNAT-IMP-MSP,"10,000",GROW,49.00,15
BN-06INNAT-IMP-MSP,"10,000",GROW,42.00,21
BN-06INNAT-IMP-MSP,"10,000",GROW,35.00,23
BN-06INNAT-IMP-MSP,"10,000",GROW,49.00,37
BN-06INNAT-IMP-MSP,"10,000",GROW,56.00,42
BN-06INNAT-IMP-SPT,"10,000",GROW,21.00,1
BN-06INNAT-IMP-SPT,"10,000",GROW,14.00,21
BN-06INNAT-IMP-SPT,"10,000",GROW,21.00,37
BN-06INNAT-IMP-SPT,"30,000",SPACE,28.00,1
BN-06INNAT-IMP-SPT,"30,000",SPACE,21.00,15
BN-06INNAT-IMP-SPT,"30,000",SPACE,28.00,42
BN-06INNAT-IMP-SSP,"10,000",GROW,49.00,1
BN-06INNAT-IMP-SSP,"10,000",GROW,42.00,15
BN-06INNAT-IMP-SSP,"10,000",GROW,35.00,21
BN-06INNAT-IMP-SSP,"10,000",GROW,42.00,37
BN-06INNAT-IMP-SSP,"10,000",GROW,49.00,42
BN-06INNAT-LAN-LPT,"10,000",GROW,35.00,1
BN-06INNAT-LAN-LPT,"10,000",GROW,28.00,15
BN-06INNAT-LAN-LPT,"10,000",GROW,35.00,37
BN-06INNAT-LAN-LPT,"10,000",GROW,28.00,41
BN-06INNAT-LAN-LPT,"10,000",GROW,35.00,42
BN-06INNAT-LAN-LPT,"30,000",SPACE,35.00,1
BN-06INNAT-LAN-LSP,"10,000",GROW,70.00,1
BN-06INNAT-LAN-LSP,"10,000",GROW,63.00,15
BN-06INNAT-LAN-LSP,"10,000",GROW,70.00,37
BN-06INNAT-LAN-LSP,"10,000",GROW,63.00,41
BN-06INNAT-LAN-LSP,"10,000",GROW,70.00,42
BN-06INNAT-LAN-MPT,"10,000",GROW,28.00,1
BN-06INNAT-LAN-MPT,"30,000",SPACE,35.00,1
BN-06INNAT-LAN-MPT,"30,000",SPACE,28.00,15
BN-06INNAT-LAN-MPT,"30,000",SPACE,35.00,37
BN-06INNAT-LAN-MPT,"30,000",SPACE,28.00,41
BN-06INNAT-LAN-MPT,"30,000",SPACE,35.00,42
BN-06INNAT-LAN-MSP,"10,000",GROW,63.00,1
BN-06INNAT-LAN-MSP,"10,000",GROW,56.00,15
BN-06INNAT-LAN-MSP,"10,000",GROW,63.00,37
BN-06INNAT-LAN-MSP,"10,000",GROW,56.00,41
BN-06INNAT-LAN-MSP,"10,000",GROW,63.00,42
BN-06INNAT-LAN-SPT,"10,000",GROW,28.00,1
BN-06INNAT-LAN-SPT,"10,000",GROW,21.00,15
BN-06INNAT-LAN-SPT,"10,000",GROW,28.00,37
BN-06INNAT-LAN-SPT,"10,000",GROW,21.00,41
BN-06INNAT-LAN-SPT,"10,000",GROW,28.00,42
BN-06INNAT-LAN-SPT,"30,000",SPACE,28.00,1
BN-06INNAT-LAN-SSP,"10,000",GROW,56.00,1
BN-06INNAT-LAN-SSP,"10,000",GROW,49.00,15
BN-06INNAT-LAN-SSP,"10,000",GROW,56.00,37
BN-06INNAT-LAN-SSP,"10,000",GROW,49.00,41
BN-06INNAT-LAN-SSP,"10,000",GROW,56.00,42
BN-06INNAT-MAR-LPT,"10,000",GROW,21.00,1
BN-06INNAT-MAR-LPT,"30,000",SPACE,28.00,1
BN-06INNAT-MAR-LPT,"30,000",SPACE,35.00,15
BN-06INNAT-MAR-LPT,"30,000",SPACE,42.00,23
BN-06INNAT-MAR-LPT,"30,000",SPACE,35.00,37
BN-06INNAT-MAR-LSP,"10,000",GROW,49.00,1
BN-06INNAT-MAR-LSP,"10,000",GROW,56.00,15
BN-06INNAT-MAR-LSP,"10,000",GROW,63.00,23
BN-06INNAT-MAR-LSP,"10,000",GROW,56.00,37
BN-06INNAT-MAR-MPT,"10,000",GROW,21.00,1
BN-06INNAT-MAR-MPT,"30,000",SPACE,21.00,1
BN-06INNAT-MAR-MPT,"30,000",SPACE,28.00,15
BN-06INNAT-MAR-MPT,"30,000",SPACE,35.00,23
BN-06INNAT-MAR-MPT,"30,000",SPACE,28.00,37
BN-06INNAT-MAR-MSP,"10,000",GROW,42.00,1
BN-06INNAT-MAR-MSP,"10,000",GROW,49.00,15
BN-06INNAT-MAR-MSP,"10,000",GROW,56.00,23
BN-06INNAT-MAR-MSP,"10,000",GROW,49.00,37
BN-06INNAT-MAR-SPT,"10,000",GROW,21.00,1
BN-06INNAT-MAR-SPT,"30,000",SPACE,14.00,1
BN-06INNAT-MAR-SPT,"30,000",SPACE,21.00,15
BN-06INNAT-MAR-SPT,"30,000",SPACE,28.00,23
BN-06INNAT-MAR-SPT,"30,000",SPACE,21.00,37
BN-06INNAT-MAR-SSP,"10,000",GROW,35.00,1
BN-06INNAT-MAR-SSP,"10,000",GROW,42.00,15
BN-06INNAT-MAR-SSP,"10,000",GROW,49.00,23
BN-06INNAT-MAR-SSP,"10,000",GROW,42.00,37
BN-06INNAT-PEN-LPT,"10,000",GROW,35.00,1
BN-06INNAT-PEN-LPT,"10,000",GROW,28.00,15
BN-06INNAT-PEN-LPT,"10,000",GROW,21.00,21
BN-06INNAT-PEN-LPT,"10,000",GROW,28.00,37
BN-06INNAT-PEN-LPT,"10,000",GROW,35.00,42
BN-06INNAT-PEN-LPT,"30,000",SPACE,35.00,1
BN-06INNAT-PEN-LSP,"10,000",GROW,70.00,1
BN-06INNAT-PEN-LSP,"10,000",GROW,63.00,15
BN-06INNAT-PEN-LSP,"10,000",GROW,56.00,21
BN-06INNAT-PEN-LSP,"10,000",GROW,63.00,37
BN-06INNAT-PEN-LSP,"10,000",GROW,70.00,42
BN-06INNAT-PEN-MPT,"10,000",GROW,28.00,1
BN-06INNAT-PEN-MPT,"10,000",GROW,21.00,21
BN-06INNAT-PEN-MPT,"10,000",GROW,28.00,37
BN-06INNAT-PEN-MPT,"30,000",SPACE,35.00,1
BN-06INNAT-PEN-MPT,"30,000",SPACE,28.00,15
BN-06INNAT-PEN-MPT,"30,000",SPACE,35.00,42
BN-06INNAT-PEN-MSP,"10,000",GROW,63.00,1
BN-06INNAT-PEN-MSP,"10,000",GROW,56.00,15
BN-06INNAT-PEN-MSP,"10,000",GROW,49.00,21
BN-06INNAT-PEN-MSP,"10,000",GROW,56.00,37
BN-06INNAT-PEN-MSP,"10,000",GROW,63.00,42
BN-06INNAT-PEN-SPT,"10,000",GROW,28.00,1
BN-06INNAT-PEN-SPT,"10,000",GROW,21.00,15
BN-06INNAT-PEN-SPT,"10,000",GROW,28.00,42
BN-06INNAT-PEN-SPT,"30,000",SPACE,28.00,1
BN-06INNAT-PEN-SSP,"10,000",GROW,56.00,1
BN-06INNAT-PEN-SSP,"10,000",GROW,49.00,15
BN-06INNAT-PEN-SSP,"10,000",GROW,56.00,42
BN-06INNAT-POR-LPT,"10,000",GROW,28.00,1
BN-06INNAT-POR-LPT,"10,000",GROW,21.00,15
BN-06INNAT-POR-LPT,"10,000",GROW,14.00,23
BN-06INNAT-POR-LPT,"10,000",GROW,21.00,37
BN-06INNAT-POR-LPT,"10,000",GROW,28.00,42
BN-06INNAT-POR-LPT,"30,000",SPACE,28.00,1
BN-06INNAT-POR-LPT,"30,000",SPACE,21.00,21
BN-06INNAT-POR-LPT,"30,000",SPACE,28.00,38
BN-06INNAT-POR-LSP,"10,000",GROW,56.00,1
BN-06INNAT-POR-LSP,"10,000",GROW,49.00,15
BN-06INNAT-POR-LSP,"10,000",GROW,42.00,21
BN-06INNAT-POR-LSP,"10,000",GROW,35.00,23
BN-06INNAT-POR-LSP,"10,000",GROW,42.00,37
BN-06INNAT-POR-LSP,"10,000",GROW,49.00,38
BN-06INNAT-POR-LSP,"10,000",GROW,56.00,42
BN-06INNAT-POR-MPT,"10,000",GROW,21.00,1
BN-06INNAT-POR-MPT,"10,000",GROW,14.00,21
BN-06INNAT-POR-MPT,"10,000",GROW,21.00,38
BN-06INNAT-POR-MPT,"30,000",SPACE,28.00,1
BN-06INNAT-POR-MPT,"30,000",SPACE,21.00,15
BN-06INNAT-POR-MPT,"30,000",SPACE,28.00,42
BN-06INNAT-POR-MSP,"10,000",GROW,49.00,1
BN-06INNAT-POR-MSP,"10,000",GROW,42.00,15
BN-06INNAT-POR-MSP,"10,000",GROW,35.00,21
BN-06INNAT-POR-MSP,"10,000",GROW,42.00,38
BN-06INNAT-POR-MSP,"10,000",GROW,49.00,42
BN-06INNAT-POR-SPT,"10,000",GROW,21.00,1
BN-06INNAT-POR-SPT,"10,000",GROW,14.00,15
BN-06INNAT-POR-SPT,"10,000",GROW,21.00,42
BN-06INNAT-POR-SPT,"30,000",SPACE,21.00,1
BN-06INNAT-POR-SSP,"10,000",GROW,42.00,1
BN-06INNAT-POR-SSP,"10,000",GROW,35.00,21
BN-06INNAT-POR-SSP,"10,000",GROW,42.00,38
BN-06INNAT-SAL-LPT,"10,000",GROW,28.00,1
BN-06INNAT-SAL-LPT,"10,000",GROW,21.00,15
BN-06INNAT-SAL-LPT,"10,000",GROW,14.00,23
BN-06INNAT-SAL-LPT,"10,000",GROW,21.00,37
BN-06INNAT-SAL-LPT,"30,000",SPACE,28.00,1
BN-06INNAT-SAL-LPT,"30,000",SPACE,21.00,23
BN-06INNAT-SAL-LSP,"10,000",GROW,56.00,1
BN-06INNAT-SAL-LSP,"10,000",GROW,49.00,15
BN-06INNAT-SAL-LSP,"10,000",GROW,35.00,23
BN-06INNAT-SAL-LSP,"10,000",GROW,42.00,37
BN-06INNAT-SAL-MPT,"10,000",GROW,21.00,1
BN-06INNAT-SAL-MPT,"10,000",GROW,14.00,19
BN-06INNAT-SAL-MPT,"30,000",SPACE,28.00,1
BN-06INNAT-SAL-MPT,"30,000",SPACE,21.00,15
BN-06INNAT-SAL-MSP,"10,000",GROW,49.00,1
BN-06INNAT-SAL-MSP,"10,000",GROW,42.00,15
BN-06INNAT-SAL-MSP,"10,000",GROW,35.00,19
BN-06INNAT-SAL-SPT,"10,000",GROW,21.00,1
BN-06INNAT-SAL-SPT,"10,000",GROW,14.00,15
BN-06INNAT-SAL-SPT,"30,000",SPACE,21.00,1
BN-06INNAT-SAL-SPT,"30,000",SPACE,14.00,23
BN-06INNAT-SAL-SSP,"10,000",GROW,42.00,1
BN-06INNAT-SAL-SSP,"10,000",GROW,35.00,15
BN-06INPLT-BAS-LSP,"10,000",GROW,35.00,1
BN-06INPLT-BAS-LSP,"10,000",GROW,28.00,15
BN-06INPLT-BAS-LSP,"10,000",GROW,35.00,37
BN-06INPLT-LEM-LSP,"10,000",GROW,49.00,1
BN-06INPLT-NEP-LSP,"10,000",GROW,63.00,1
BN-06INPLT-NEP-LSP,"10,000",GROW,56.00,15
BN-06INPLT-NEP-LSP,"10,000",GROW,49.00,23
BN-06INPLT-NEP-LSP,"10,000",GROW,56.00,37
BN-06INPLT-NEP-LSP,"10,000",GROW,63.00,42
BN-06INPLT-STR-LSP,"10,000",GROW,70.00,1
BN-06INPLT-STR-LSP,"10,000",GROW,63.00,15
BN-06INPLT-STR-LSP,"10,000",GROW,56.00,21
BN-06INPLT-STR-LSP,"10,000",GROW,63.00,36
BN-06INPLT-STR-LSP,"10,000",GROW,70.00,40
BN-06INPOI-BF-LSP,"10,000",GROW,112.00,1
BN-06INPOI-BF-MSP,"10,000",GROW,105.00,1
BN-06INPOI-BFUPG-LSP,"10,000",GROW,126.00,1
BN-06INPOI-BFUPG-MSP,"10,000",GROW,119.00,1
BN-06INPOI-UPGRA-LSP,"10,000",GROW,112.00,1
BN-06INSUN-SUN-DSLSP,"10,000",GROW,84.00,1
BN-06INSUN-SUN-DSLSP,"10,000",GROW,77.00,19
BN-06INSUN-SUN-DSLSP,"10,000",GROW,84.00,37
BN-06INSUN-SUN-DSMSP,"10,000",GROW,77.00,1
BN-06INSUN-SUN-DSMSP,"10,000",GROW,70.00,19
BN-06INSUN-SUN-DSMSP,"10,000",GROW,77.00,37
BN-06INSUN-SUN-DSSSP,"10,000",GROW,70.00,1
BN-06INSUN-SUN-DSSSP,"10,000",GROW,63.00,19
BN-06INSUN-SUN-DSSSP,"10,000",GROW,70.00,37
BN-06INSUN-SUN-LPT,"10,000",GROW,35.00,1
BN-06INSUN-SUN-LPT,"10,000",GROW,28.00,15
BN-06INSUN-SUN-LPT,"10,000",GROW,21.00,23
BN-06INSUN-SUN-LPT,"10,000",GROW,28.00,37
BN-06INSUN-SUN-LPT,"10,000",GROW,35.00,42
BN-06INSUN-SUN-LPT,"30,000",SPACE,35.00,1
BN-06INSUN-SUN-LPT,"30,000",SPACE,28.00,21
BN-06INSUN-SUN-LPT,"30,000",SPACE,35.00,37
BN-06INSUN-SUN-LSP,"10,000",GROW,70.00,1
BN-06INSUN-SUN-LSP,"10,000",GROW,63.00,15
BN-06INSUN-SUN-LSP,"10,000",GROW,56.00,21
BN-06INSUN-SUN-LSP,"10,000",GROW,49.00,23
BN-06INSUN-SUN-LSP,"10,000",GROW,63.00,37
BN-06INSUN-SUN-LSP,"10,000",GROW,70.00,42
BN-06INSUN-SUN-MPT,"10,000",GROW,28.00,1
BN-06INSUN-SUN-MPT,"10,000",GROW,21.00,21
BN-06INSUN-SUN-MPT,"10,000",GROW,28.00,37
BN-06INSUN-SUN-MPT,"30,000",SPACE,35.00,1
BN-06INSUN-SUN-MPT,"30,000",SPACE,28.00,15
BN-06INSUN-SUN-MPT,"30,000",SPACE,35.00,42
BN-06INSUN-SUN-MSP,"10,000",GROW,63.00,1
BN-06INSUN-SUN-MSP,"10,000",GROW,56.00,15
BN-06INSUN-SUN-MSP,"10,000",GROW,49.00,21
BN-06INSUN-SUN-MSP,"10,000",GROW,56.00,37
BN-06INSUN-SUN-MSP,"10,000",GROW,63.00,42
BN-06INSUN-SUN-SPT,"10,000",GROW,28.00,1
BN-06INSUN-SUN-SPT,"10,000",GROW,21.00,15
BN-06INSUN-SUN-SPT,"10,000",GROW,28.00,42
BN-06INSUN-SUN-SPT,"30,000",SPACE,28.00,1
BN-06INSUN-SUN-SSP,"10,000",GROW,56.00,1
BN-06INSUN-SUN-SSP,"10,000",GROW,49.00,15
BN-06INSUN-SUN-SSP,"10,000",GROW,56.00,42
BN-06INVEG-BAS-LSP,"10,000",GROW,35.00,1
BN-06INVEG-BAS-LSP,"10,000",GROW,28.00,15
BN-06INVEG-BAS-LSP,"10,000",GROW,21.00,23
BN-06INVEG-BAS-LSP,"10,000",GROW,28.00,37
BN-06INVEG-BAS-LSP,"10,000",GROW,35.00,42
BN-06INVEG-CIL-LSP,"10,000",GROW,35.00,1
BN-06INVEG-CIL-LSP,"10,000",GROW,28.00,15
BN-06INVEG-CIL-LSP,"10,000",GROW,21.00,23
BN-06INVEG-CIL-LSP,"10,000",GROW,28.00,37
BN-06INVEG-CIL-LSP,"10,000",GROW,35.00,42
BN-06INVEG-CIT-LSP,"10,000",GROW,49.00,1
BN-06INVEG-CIT-LSP,"10,000",GROW,42.00,15
BN-06INVEG-CIT-LSP,"10,000",GROW,49.00,37
BN-06INVEG-CIT-LSP,"10,000",GROW,56.00,42
BN-06INVEG-DIL-LSP,"10,000",GROW,35.00,1
BN-06INVEG-DIL-LSP,"10,000",GROW,28.00,15
BN-06INVEG-DIL-LSP,"10,000",GROW,21.00,23
BN-06INVEG-DIL-LSP,"10,000",GROW,28.00,37
BN-06INVEG-DIL-LSP,"10,000",GROW,35.00,42
BN-06INVEG-EGG-LSP,"10,000",GROW,35.00,1
BN-06INVEG-EGG-LSP,"10,000",GROW,28.00,15
BN-06INVEG-EGG-LSP,"10,000",GROW,21.00,23
BN-06INVEG-EGG-LSP,"10,000",GROW,28.00,37
BN-06INVEG-EGG-LSP,"10,000",GROW,35.00,42
BN-06INVEG-LAV-LSP,"10,000",GROW,91.00,1
BN-06INVEG-LAV-LSP,"10,000",GROW,84.00,15
BN-06INVEG-LAV-LSP,"10,000",GROW,77.00,23
BN-06INVEG-LAV-LSP,"10,000",GROW,70.00,37
BN-06INVEG-LAV-LSP,"10,000",GROW,77.00,42
BN-06INVEG-LAV-LSP,"10,000",GROW,84.00,45
BN-06INVEG-LAV-LSP,"10,000",GROW,98.00,48
BN-06INVEG-LEM-LSP,"10,000",GROW,56.00,1
BN-06INVEG-LEM-LSP,"10,000",GROW,49.00,15
BN-06INVEG-LEM-LSP,"10,000",GROW,42.00,23
BN-06INVEG-LEM-LSP,"10,000",GROW,49.00,37
BN-06INVEG-LEM-LSP,"10,000",GROW,56.00,42
BN-06INVEG-ORG-LSP,"10,000",GROW,35.00,1
BN-06INVEG-ORG-LSP,"10,000",GROW,28.00,15
BN-06INVEG-ORG-LSP,"10,000",GROW,21.00,23
BN-06INVEG-ORG-LSP,"10,000",GROW,28.00,37
BN-06INVEG-ORG-LSP,"10,000",GROW,35.00,42
BN-06INVEG-PAR-LSP,"10,000",GROW,35.00,1
BN-06INVEG-PAR-LSP,"10,000",GROW,28.00,15
BN-06INVEG-PAR-LSP,"10,000",GROW,21.00,23
BN-06INVEG-PAR-LSP,"10,000",GROW,28.00,37
BN-06INVEG-PAR-LSP,"10,000",GROW,35.00,42
BN-06INVEG-PEP-LSP,"10,000",GROW,42.00,1
BN-06INVEG-PEP-LSP,"10,000",GROW,35.00,15
BN-06INVEG-PEP-LSP,"10,000",GROW,28.00,23
BN-06INVEG-PEP-LSP,"10,000",GROW,35.00,37
BN-06INVEG-PEP-LSP,"10,000",GROW,42.00,42
BN-06INVEG-ROS-LSP,"10,000",GROW,91.00,1
BN-06INVEG-ROS-LSP,"10,000",GROW,84.00,15
BN-06INVEG-ROS-LSP,"10,000",GROW,77.00,23
BN-06INVEG-ROS-LSP,"10,000",GROW,70.00,37
BN-06INVEG-ROS-LSP,"10,000",GROW,77.00,42
BN-06INVEG-ROS-LSP,"10,000",GROW,84.00,45
BN-06INVEG-ROS-LSP,"10,000",GROW,98.00,48
BN-06INVEG-TOM-LSP,"10,000",GROW,35.00,1
BN-06INVEG-TOM-LSP,"10,000",GROW,28.00,15
BN-06INVEG-TOM-LSP,"10,000",GROW,21.00,23
BN-06INVEG-TOM-LSP,"10,000",GROW,28.00,37
BN-06INVEG-TOM-LSP,"10,000",GROW,35.00,42
BN-06INVIG-GER-LPT,"10,000",GROW,35.00,1
BN-06INVIG-GER-LPT,"10,000",GROW,28.00,15
BN-06INVIG-GER-LPT,"10,000",GROW,35.00,42
BN-06INVIG-GER-LPT,"30,000",SPACE,42.00,1
BN-06INVIG-GER-LPT,"30,000",SPACE,35.00,23
BN-06INVIG-GER-LPT,"30,000",SPACE,42.00,37
BN-06INVIG-GER-LSP,"10,000",GROW,77.00,1
BN-06INVIG-GER-LSP,"10,000",GROW,70.00,15
BN-06INVIG-GER-LSP,"10,000",GROW,63.00,23
BN-06INVIG-GER-LSP,"10,000",GROW,70.00,37
BN-06INVIG-GER-LSP,"10,000",GROW,77.00,42
BN-06INVIG-GER-MPT,"10,000",GROW,28.00,1
BN-06INVIG-GER-MPT,"30,000",SPACE,42.00,1
BN-06INVIG-GER-MPT,"30,000",SPACE,35.00,15
BN-06INVIG-GER-MPT,"30,000",SPACE,42.00,42
BN-06INVIG-GER-MSP,"10,000",GROW,70.00,1
BN-06INVIG-GER-MSP,"10,000",GROW,63.00,15
BN-06INVIG-GER-MSP,"10,000",GROW,70.00,42
BN-06INVIG-GER-SPT,"10,000",GROW,28.00,1
BN-06INVIG-GER-SPT,"30,000",SPACE,35.00,1
BN-06INVIG-GER-SSP,"10,000",GROW,63.00,1
BN-06INVIG-PAN-LSP,"10,000",GROW,70.00,1
BN-06INVIG-PAN-LSP,"10,000",GROW,63.00,14
BN-06INVIG-PAN-LSP,"10,000",GROW,56.00,18
BN-06INVIG-PAN-LSP,"10,000",GROW,42.00,21
BN-06INVIG-PAN-LSP,"10,000",GROW,56.00,37
BN-06INVIG-PAN-LSP,"10,000",GROW,63.00,41
BN-06INVIG-PAN-LSP,"10,000",GROW,70.00,44
BN-06INVIG-PAN-MSP,"10,000",GROW,63.00,1
BN-06INVIG-PAN-MSP,"10,000",GROW,56.00,14
BN-06INVIG-PAN-MSP,"10,000",GROW,49.00,18
BN-06INVIG-PAN-MSP,"10,000",GROW,42.00,21
BN-06INVIG-PAN-MSP,"10,000",GROW,49.00,37
BN-06INVIG-PAN-MSP,"10,000",GROW,56.00,41
BN-06INVIG-PAN-MSP,"10,000",GROW,63.00,44
BN-06INVIG-PAN-SSP,"10,000",GROW,56.00,1
BN-06INVIG-PAN-SSP,"10,000",GROW,49.00,14
BN-06INVIG-PAN-SSP,"10,000",GROW,42.00,18
BN-06INVIG-PAN-SSP,"10,000",GROW,49.00,41
BN-06INVIG-PAN-SSP,"10,000",GROW,56.00,44
BN-06INVIG-PEC-LSP,"10,000",GROW,70.00,1
BN-06INVIG-PEC-LSP,"10,000",GROW,63.00,15
BN-06INVIG-PEC-LSP,"10,000",GROW,56.00,21
BN-06INVIG-PEC-LSP,"10,000",GROW,42.00,23
BN-06INVIG-PEC-LSP,"10,000",GROW,63.00,37
BN-06INVIG-PEC-LSP,"10,000",GROW,70.00,42
BN-06INVIG-PEC-MSP,"10,000",GROW,63.00,1
BN-06INVIG-PEC-MSP,"10,000",GROW,56.00,15
BN-06INVIG-PEC-MSP,"10,000",GROW,49.00,21
BN-06INVIG-PEC-MSP,"10,000",GROW,42.00,23
BN-06INVIG-PEC-MSP,"10,000",GROW,56.00,37
BN-06INVIG-PEC-MSP,"10,000",GROW,63.00,42
BN-06INVIG-PEC-SSP,"10,000",GROW,56.00,1
BN-06INVIG-PEC-SSP,"10,000",GROW,49.00,15
BN-06INVIG-PEC-SSP,"10,000",GROW,42.00,21
BN-06INVIG-PEC-SSP,"10,000",GROW,49.00,37
BN-06INVIG-PEC-SSP,"10,000",GROW,56.00,42
BN-06INVIG-STO-LSP,"10,000",GROW,63.00,1
BN-06INVIG-STO-LSP,"10,000",GROW,56.00,15
BN-06INVIG-STO-LSP,"10,000",GROW,49.00,21
BN-06INVIG-STO-LSP,"10,000",GROW,35.00,23
BN-06INVIG-STO-LSP,"10,000",GROW,56.00,37
BN-06INVIG-STO-LSP,"10,000",GROW,63.00,42
BN-06INVIG-STO-MSP,"10,000",GROW,56.00,1
BN-06INVIG-STO-MSP,"10,000",GROW,49.00,15
BN-06INVIG-STO-MSP,"10,000",GROW,42.00,21
BN-06INVIG-STO-MSP,"10,000",GROW,35.00,23
BN-06INVIG-STO-MSP,"10,000",GROW,49.00,37
BN-06INVIG-STO-MSP,"10,000",GROW,56.00,42
BN-06INVIG-STO-SSP,"10,000",GROW,49.00,1
BN-06INVIG-STO-SSP,"10,000",GROW,42.00,15
BN-06INVIG-STO-SSP,"10,000",GROW,35.00,21
BN-06INVIG-STO-SSP,"10,000",GROW,42.00,37
BN-06INVIG-STO-SSP,"10,000",GROW,49.00,42
BN-06INVIG-TROP-AGL,"10,000",GROW,70.00,1
BN-06INVIG-TROP-AGL,"30,000",SPACE,140.00,1
BN-06INVIG-TROP-ALO,"10,000",GROW,35.00,1
BN-06INVIG-TROP-ALO,"30,000",SPACE,63.00,1
BN-06INVIG-TROP-APO,"10,000",GROW,28.00,1
BN-06INVIG-TROP-APO,"30,000",SPACE,56.00,1
BN-06INVIG-TROP-BEG,"10,000",GROW,28.00,1
BN-06INVIG-TROP-BEG,"30,000",SPACE,56.00,1
BN-06INVIG-TROP-CAL,"10,000",GROW,35.00,1
BN-06INVIG-TROP-CAL,"30,000",SPACE,63.00,1
BN-06INVIG-TROP-DIE,"10,000",GROW,42.00,1
BN-06INVIG-TROP-DIE,"30,000",SPACE,98.00,1
BN-06INVIG-TROP-FER,"10,000",GROW,35.00,1
BN-06INVIG-TROP-FER,"30,000",SPACE,63.00,1
BN-06INVIG-TROP-FIC,"10,000",GROW,28.00,1
BN-06INVIG-TROP-FIC,"30,000",SPACE,56.00,1
BN-06INVIG-TROP-GEO,"10,000",GROW,28.00,1
BN-06INVIG-TROP-GEO,"30,000",SPACE,56.00,1
BN-06INVIG-TROP-HOM,"10,000",GROW,28.00,1
BN-06INVIG-TROP-HOM,"30,000",SPACE,56.00,1
BN-06INVIG-TROP-MON,"10,000",GROW,35.00,1
BN-06INVIG-TROP-MON,"30,000",SPACE,77.00,1
BN-06INVIG-TROP-PHI,"10,000",GROW,35.00,1
BN-06INVIG-TROP-PHI,"30,000",SPACE,63.00,1
BN-06INVIG-TROP-PTE,"10,000",GROW,28.00,1
BN-06INVIG-TROP-PTE,"30,000",SPACE,42.00,1
BN-06INVIG-TROP-SAN,"10,000",GROW,28.00,1
BN-06INVIG-TROP-SAN,"30,000",SPACE,63.00,1
BN-06INWAV-PET-LPT,"10,000",GROW,21.00,1
BN-06INWAV-PET-LPT,"10,000",GROW,14.00,23
BN-06INWAV-PET-LPT,"10,000",GROW,21.00,37
BN-06INWAV-PET-LPT,"30,000",SPACE,35.00,1
BN-06INWAV-PET-LPT,"30,000",SPACE,28.00,15
BN-06INWAV-PET-LPT,"30,000",SPACE,21.00,21
BN-06INWAV-PET-LPT,"30,000",SPACE,14.00,23
BN-06INWAV-PET-LPT,"30,000",SPACE,28.00,37
BN-06INWAV-PET-LPT,"30,000",SPACE,35.00,42
BN-06INWAV-PET-LSP,"10,000",GROW,56.00,1
BN-06INWAV-PET-LSP,"10,000",GROW,49.00,15
BN-06INWAV-PET-LSP,"10,000",GROW,42.00,21
BN-06INWAV-PET-LSP,"10,000",GROW,28.00,23
BN-06INWAV-PET-LSP,"10,000",GROW,49.00,37
BN-06INWAV-PET-LSP,"10,000",GROW,56.00,42
BN-06INWAV-PET-MPT,"10,000",GROW,21.00,1
BN-06INWAV-PET-MPT,"10,000",GROW,14.00,21
BN-06INWAV-PET-MPT,"10,000",GROW,21.00,37
BN-06INWAV-PET-MPT,"30,000",SPACE,28.00,1
BN-06INWAV-PET-MPT,"30,000",SPACE,21.00,15
BN-06INWAV-PET-MPT,"30,000",SPACE,14.00,23
BN-06INWAV-PET-MPT,"30,000",SPACE,21.00,37
BN-06INWAV-PET-MPT,"30,000",SPACE,28.00,42
