Production Item No_,Production Variant Code,Location Code,Production Scheme Code,Activity Scheme Code,Add_ Activity Scheme Code
4012967,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALROS-MYS-PAI,NJ00-4012967
4012943,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALROS-MYS-PAT,NJ00-4012943
4012913,,NJ00,NJ00-2GALROS-HYB,NJ00-3GALROS-MYS-PAI,NJ00-4012913
4012929,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALROS-MYS-PAI,NJ00-4012929
4012914,,NJ00,NJ00-2GALROS-HYB,NJ00-3GALROS-MYS-LAN,NJ00-4012914
4012930,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALROS-MYS-LAN,NJ00-4012930
4012928,,NJ00,NJ00-2GALROS-HYB,NJ00-2GALROS-MYS-BOU,NJ00-4012928
4012974,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALROS-MYS-BOU,NJ00-4012974
4012922,,NJ00,NJ00-2GALROS-HYB,NJ00-3GALROS-MYS-LAN,NJ00-4012922
4013054,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALROS-MYS-PAT,NJ00-4013054
4013009,,NJ00,NJ00-2GALROS-HYB,NJ00-2GALROS-MYS-LAN,NJ00-4013009
4013242,,NJ00,NJ00-2GALROS-HYB,NJ00-3GALROS-MYS-LAN,NJ00-4013242
4013053,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALROS-MYS-PAT,NJ00-4013053
4012899,,NJ00,NJ00-2GALROS-HYB,NJ00-3GALROS-MYS-PAI,NJ00-4012899
4012953,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALROS-MYS-PAI,NJ00-4012953
4013243,,NJ00,NJ00-2GALROS-HYB,NJ00-3GALROS-MYS-LAN,NJ00-4013243
4013241,,NJ00,NJ00-2GALROS-HYB,NJ00-3GALROS-MYS-LAN,NJ00-4013241
4012915,,NJ00,NJ00-2GALROS-HYB,NJ00-2GALROS-MYS-BOU,NJ00-4012915
4012931,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALROS-MYS-BOU,NJ00-4012931
4013055,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALROS-MYS-PAT,NJ00-4013055
4012898,,NJ00,NJ00-2GALROS-HYB,NJ00-3GALROS-MYS-LAN,NJ00-4012898
4012948,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALROS-MYS-LAN,NJ00-4012948
4012936,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALROS-MYS-PAT,NJ00-4012936
4013249,,NJ00,NJ00-2GALROS-HYB,NJ00-2GALROS-MYS-BOU,NJ00-4013249
4012900,,NJ00,NJ00-2GALROS-HYB,NJ00-3GALROS-MYS-LAN,NJ00-4012900
4012949,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALROS-MYS-LAN,NJ00-4012949
4012937,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALROS-MYS-PAT,NJ00-4012937
4013250,,NJ00,NJ00-2GALROS-HYB,NJ00-2GALROS-MYS-BOU,NJ00-4013250
4013245,,NJ00,NJ00-2GALROS-HYB,NJ00-2GALROS-MYS-BOU,NJ00-4013245
4013315,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALROS-MYS-BOU,NJ00-4013315
4013251,,NJ00,NJ00-2GALROS-HYB,NJ00-2GALROS-MYS-BOU,NJ00-4013251
4013318,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALROS-MYS-BOU,NJ00-4013318
4013252,,NJ00,NJ00-2GALROS-HYB,NJ00-2GALROS-MYS-BOU,NJ00-4013252
4013314,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALROS-MYS-BOU,NJ00-4013314
4013253,,NJ00,NJ00-2GALROS-HYB,NJ00-2GALROS-MYS-BOU,NJ00-4013253
4013254,,NJ00,NJ00-2GALROS-HYB,NJ00-2GALROS-MYS-BOU,NJ00-4013254
4013316,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALROS-MYS-BOU,NJ00-4013316
4013255,,NJ00,NJ00-2GALROS-HYB,NJ00-2GALROS-MYS-BOU,NJ00-4013255
4012916,,NJ00,NJ00-2GALROS-HYB,NJ00-2GALROS-MYS-BOU,NJ00-4012916
4012932,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALROS-MYS-BOU,NJ00-4012932
4012921,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALROS-MYS-CLI,NJ00-4012921
4012904,,NJ00,NJ00-2GALROS-HYB,NJ00-2GALROS-MYS-BOU,NJ00-4012904
4012958,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALROS-MYS-BOU,NJ00-4012958
4013256,,NJ00,NJ00-2GALROS-HYB,NJ00-2GALROS-MYS-BOU,NJ00-4013256
4012923,,NJ00,NJ00-2GALROS-HYB,NJ00-3GALROS-MYS-LAN,NJ00-4012923
4013056,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALROS-MYS-PAT,NJ00-4013056
4012945,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALROS-MYS-CLI,NJ00-4012945
4012917,,NJ00,NJ00-2GALROS-HYB,NJ00-2GALROS-MYS-BOU,NJ00-4012917
4012968,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALROS-MYS-BOU,NJ00-4012968
4012935,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALROS-MYS-PAT,NJ00-4012935
4012941,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALROS-MYS-PAT,NJ00-4012941
4012971,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALROS-MYS-CLI,NJ00-4012971
4012946,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALROS-MYS-CLI,NJ00-4012946
4012950,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALROS-MYS-LAN,NJ00-4012950
4012965,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALROS-MYS-LAN,NJ00-4012965
4012933,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALROS-MYS-BOU,NJ00-4012933
4012918,,NJ00,NJ00-2GALROS-HYB,NJ00-2GALROS-MYS-BOU,NJ00-4012918
4012934,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALROS-MYS-BOU,NJ00-4012934
4012920,,NJ00,NJ00-2GALROS-HYB,NJ00-3GALROS-MYS-PAI,NJ00-4012920
4012951,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALROS-MYS-PAI,NJ00-4012951
4012942,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALROS-MYS-PAT,NJ00-4012942
4013045,,NJ00,NJ00-2GALROS-HYB,NJ00-2GALROS-MYS-BOU,NJ00-4013045
4013011,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALROS-MYS-BOU,NJ00-4013011
4012905,,NJ00,NJ00-2GALROS-HYB,NJ00-3GALROS-MYS-PAI,NJ00-4012905
4012959,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALROS-MYS-PAI,NJ00-4012959
4012910,,NJ00,NJ00-2GALROS-HYB,NJ00-3GALROS-MYS-LAN,NJ00-4012910
